Team,Name,Position,Age,OVR,Dev Trait,Trade Value,Years Pro,College,Height,Weight,Salary/yr,Bonus,Cap Hit,Years Left,Injury (wks out),Speed,Acceleration,Agility,Strength,Awareness,Throw Power,Throw Acc (Short),Throw Acc (Mid),Throw Acc (Deep),Catching,Spec Catch,Release,Route Run (Short),Route Run (Med),Route Run (Deep),Carrying,Break Tackle,Juke Move,Truck,Run Block,Run Block Power,Pass Block,Pass Block Power,Impact Block,Power Moves,Finesse Moves,Block Shed,Pursuit,Tackle,Hit Power,Play Rec,Man Coverage,Zone Coverage,Press,Kick Power,Kick Accuracy
Baltimore Ravens,Derrick Henry,HB,21,99,X-Factor,1935,10,Alabama,"6'3""",247,13550000,21480000,5580000,2,0,93,87,83,87,99,42,40,29,23,66,55,47,56,49,41,99,94,85,93,42,35,66,43,47,11,12,36,41,44,33,20,14,19,16,21,20
Baltimore Ravens,Lamar Jackson,QB,21,98,X-Factor,3538,8,Louisville,"6'2""",205,217060000,275800000,34390000,9,0,95,94,93,63,95,93,95,97,85,64,15,17,20,15,13,70,82,91,39,14,14,13,13,29,12,10,16,38,35,27,10,12,12,10,12,19
Baltimore Ravens,Roquan Smith,MIKE,29,93,X-Factor,1147,8,Georgia,"6'1""",232,40620000,59350000,32710000,2,0,86,88,87,80,91,25,10,8,6,72,39,22,13,12,11,54,36,47,39,45,45,45,45,87,68,60,79,97,96,88,92,71,77,56,14,22
Baltimore Ravens,Kyle Hamilton,SS,25,93,Superstar,1137,4,Notre Dame,"6'4""",221,79300000,44870000,10680000,5,0,90,91,88,72,92,36,28,24,20,78,72,44,37,34,32,68,57,73,55,35,35,35,35,67,52,68,71,89,80,88,95,87,84,88,22,21
Baltimore Ravens,Nnamdi Madubuike,DT,28,91,Superstar,977,6,Texas A&M,"6'3""",305,68540000,68730000,29870000,6,0,80,82,74,92,86,16,6,6,6,44,28,15,15,7,3,30,10,25,34,45,45,45,45,85,76,87,90,90,97,85,86,22,26,20,15,12
Baltimore Ravens,Trey Hendrickson,REDG,31,90,Superstar,1191,9,FAU,"6'4""",265,72000000,40000000,15000000,4,0,83,86,83,83,91,23,6,6,6,44,27,16,17,10,6,41,28,39,43,45,45,45,44,83,85,94,78,94,87,84,90,36,41,37,17,17
Baltimore Ravens,Mark Andrews,TE,30,90,Superstar,1052,8,Oklahoma,"6'5""",247,25700000,30440000,6970000,3,0,87,89,78,81,93,25,15,10,5,91,90,78,81,77,73,73,73,80,73,68,63,54,50,67,10,10,28,32,27,25,15,12,15,10,12,10
Baltimore Ravens,Zay Flowers,WR,25,88,Star,1180,3,Boston College,"5'9""",182,33250000,8050000,4460000,2,0,93,92,93,55,90,51,39,35,30,88,85,79,86,89,85,71,80,94,38,47,25,28,13,44,15,20,34,40,36,30,27,27,37,27,20,15
Baltimore Ravens,Ronnie Stanley,LT,32,86,Superstar,962,10,Notre Dame,"6'6""",315,18050000,46000000,9850000,2,0,70,66,68,92,97,22,6,6,6,24,20,22,19,9,6,32,8,22,27,86,88,87,85,89,18,14,27,29,31,42,18,11,13,9,20,17
Baltimore Ravens,Marlon Humphrey,CB,30,85,Star,624,9,Alabama,"6'0""",205,38220000,7220000,26270000,2,0,91,92,85,74,88,22,6,6,6,78,68,15,15,11,10,62,56,76,29,35,35,35,35,62,37,51,61,79,70,77,89,81,84,96,30,25
Baltimore Ravens,Chidobe Awuzie,CB,31,83,Star,631,9,Colorado,"6'0""",202,1500000,3500000,5000000,1,0,89,92,86,69,86,32,6,6,6,72,71,27,34,23,16,68,54,78,32,35,35,35,35,47,36,51,54,77,66,79,86,83,85,78,26,22
Baltimore Ravens,Nate Wiggins,CB,23,82,Star,964,2,Clemson,"6'2""",182,6660000,6130000,3490000,2,0,96,95,92,49,77,33,27,23,21,73,70,37,47,45,42,58,71,77,21,28,21,21,11,32,25,29,43,72,67,54,75,83,76,69,15,16
Baltimore Ravens,Tyler Loop,K,25,80,Normal,410,1,Arizona,"5'11""",191,4190000,240000,1060000,3,0,74,75,67,40,66,25,30,28,20,30,13,12,14,12,10,34,12,18,12,10,10,12,11,12,10,10,10,24,20,13,14,10,11,10,97,89
Baltimore Ravens,Olaivavega Ioane,RG,22,80,Star,566,0,Penn State,"6'4""",320,4370000,19840000,4400000,4,0,62,70,66,89,80,15,6,6,6,28,24,13,14,5,5,25,10,10,24,84,84,83,80,89,44,42,35,34,44,37,24,12,14,10,24,26
Baltimore Ravens,John Simpson,LG,29,80,Normal,383,6,Clemson,"6'4""",330,19500000,180000,10580000,1,0,69,66,50,92,86,14,6,6,6,32,15,15,20,10,6,42,12,10,25,82,84,78,80,86,27,10,27,27,31,38,17,12,12,10,35,22
Baltimore Ravens,Travis Jones,DT,26,80,Star,577,4,Connecticut,"6'4""",341,27600000,16530000,5550000,3,0,74,71,70,95,76,20,6,6,6,26,14,14,10,6,5,25,19,18,33,45,45,45,45,87,77,64,82,82,87,83,73,15,19,16,15,14
Baltimore Ravens,Roger Rosengarten,RT,24,79,Normal,545,2,Washington,"6'6""",316,4920000,1490000,1750000,2,0,75,77,69,82,83,17,9,6,5,12,14,12,10,10,8,32,25,33,25,80,81,83,79,85,10,10,28,33,28,29,22,15,10,10,16,11
Baltimore Ravens,Malaki Starks,FS,22,79,Normal,527,1,Georgia,"6'1""",203,7870000,8680000,3760000,3,0,90,91,90,63,78,40,33,29,26,72,62,29,32,25,21,62,60,72,49,35,35,35,35,56,36,37,58,82,76,79,74,73,78,72,21,18
