Team,Name,Position,Age,OVR,Dev Trait,Trade Value,Years Pro,College,Height,Weight,Salary/yr,Bonus,Cap Hit,Years Left,Injury (wks out),Speed,Acceleration,Agility,Strength,Awareness,Throw Power,Throw Acc (Short),Throw Acc (Mid),Throw Acc (Deep),Catching,Spec Catch,Release,Route Run (Short),Route Run (Med),Route Run (Deep),Carrying,Break Tackle,Juke Move,Truck,Run Block,Run Block Power,Pass Block,Pass Block Power,Impact Block,Power Moves,Finesse Moves,Block Shed,Pursuit,Tackle,Hit Power,Play Rec,Man Coverage,Zone Coverage,Press,Kick Power,Kick Accuracy
New York Jets,Demario Davis,MIKE,21,98,X-Factor,1826,14,Arkansas State,"6'2""",239,14500000,7500000,5000000,2,0,88,86,77,85,97,25,6,6,6,63,15,12,15,5,5,62,25,25,45,45,45,45,45,89,57,64,92,96,95,91,99,79,88,40,26,20
New York Jets,Minkah Fitzpatrick,SS,21,91,Superstar,1171,8,Alabama,"6'1""",207,31000000,8910000,7410000,3,0,91,92,90,64,88,15,6,6,6,79,62,29,28,23,18,66,58,79,47,35,35,35,35,63,38,50,60,85,82,85,91,82,89,77,15,13
New York Jets,Breece Hall,HB,25,89,Star,821,4,Iowa State,"5'11""",220,32480000,11000000,11480000,3,0,92,91,90,76,90,32,20,15,12,70,59,58,69,60,51,88,86,92,80,43,32,56,37,44,10,10,29,33,29,24,17,13,17,16,18,15
New York Jets,Garrett Wilson,WR,21,86,Superstar,1182,4,Ohio State,"6'0""",183,109310000,42040000,10070000,5,0,92,93,93,57,86,26,19,15,12,88,91,81,85,84,86,69,82,91,40,44,19,30,18,41,10,10,20,30,22,19,17,14,21,14,17,13
New York Jets,David Bailey,REDG,23,84,Superstar,1102,0,Texas Tech,"6'4""",251,4370000,50270000,9930000,4,0,89,91,86,80,82,18,6,6,6,37,28,16,17,15,10,46,30,36,29,45,45,45,45,83,81,84,84,89,82,85,79,48,54,28,26,20
New York Jets,Armand Membou,RT,22,84,Star,660,1,Missouri,"6'4""",332,4190000,27690000,7240000,3,0,74,76,72,91,87,47,6,6,6,25,21,5,21,5,5,41,6,10,30,84,83,84,83,94,29,17,39,24,28,33,30,12,14,11,18,15
New York Jets,Joe Tippmann,RG,25,81,Star,616,3,Wisconsin,"6'6""",317,55700000,10770000,3790000,5,0,73,81,65,89,80,11,6,6,6,39,32,25,23,15,10,45,9,20,10,84,81,81,83,86,10,10,25,30,33,34,25,12,13,10,15,12
New York Jets,T'Vondre Sweat,DT,25,79,Star,697,2,Texas,"6'5""",366,5760000,1880000,1660000,2,0,63,70,67,94,72,22,13,10,7,47,43,12,10,5,3,44,39,38,50,45,45,40,40,88,70,75,82,78,87,83,76,24,28,20,24,23
New York Jets,Kenyon Sadiq,TE,21,79,Superstar,743,0,Oregon,"6'3""",241,4370000,17930000,4050000,4,0,91,93,84,76,67,38,36,25,20,80,83,74,72,72,69,74,75,75,64,62,58,61,56,61,50,48,52,57,47,44,44,40,47,37,33,28
New York Jets,Will McDonald IV,LEDG,27,79,Star,725,3,Iowa State,"6'3""",241,19130000,11640000,5190000,2,0,82,87,88,69,77,44,30,25,22,48,46,35,35,30,28,49,33,50,43,45,45,45,45,70,74,85,73,83,78,87,72,38,50,52,35,32
New York Jets,D'Angelo Ponds,CB,21,78,Star,853,0,Indiana,"5'9""",180,6200000,3600000,1780000,4,0,94,94,87,54,74,28,6,6,6,68,61,34,31,33,30,63,55,68,34,35,35,35,35,45,35,32,45,73,64,61,75,77,75,76,14,12
New York Jets,Omar Cooper Jr.,WR,22,78,Star,761,0,Indiana,"6'0""",199,5550000,9160000,3170000,4,0,93,93,90,72,66,46,43,37,33,84,83,80,76,81,83,77,80,81,59,55,38,31,31,48,25,21,22,28,31,29,23,22,24,27,28,28
New York Jets,David Onyemata,DT,33,78,Normal,363,10,Manitoba,"6'3""",300,2150000,8350000,4500000,1,0,72,77,68,89,77,13,6,6,6,41,25,12,10,3,2,30,10,17,26,45,45,44,45,80,78,65,81,80,87,81,76,22,33,10,29,12
New York Jets,Olu Fashanu,LT,23,77,Star,605,2,Penn State,"6'6""",312,4010000,16480000,5580000,2,0,69,74,64,88,76,22,6,6,6,32,20,12,10,5,5,36,15,27,39,80,78,82,83,89,42,29,46,38,43,42,29,10,11,10,15,14
New York Jets,Azareye'h Thomas,CB,22,77,Superstar,964,1,Florida State,"6'2""",196,5050000,1410000,1480000,3,0,91,90,85,67,80,26,6,6,6,72,66,27,28,25,23,57,46,71,36,35,25,35,25,57,33,38,54,67,59,60,80,76,79,81,29,19
New York Jets,Andre Cisco,FS,26,77,Star,524,5,Syracuse,"6'0""",210,1490000,740000,2230000,1,0,91,90,87,65,79,28,15,10,10,77,68,25,24,25,22,59,42,69,34,35,35,35,35,64,36,41,57,78,66,80,78,71,75,72,15,19
New York Jets,Tim Patrick,WR,32,76,Normal,380,9,Utah,"6'4""",212,1250000,730000,1980000,1,0,87,89,81,69,79,36,20,15,15,90,85,82,77,77,76,74,69,78,58,52,31,43,20,58,10,10,28,31,35,27,22,20,26,17,19,15
New York Jets,Adonai Mitchell,WR,23,76,Superstar,879,2,Texas,"6'2""",205,5180000,1080000,1460000,2,0,94,95,91,51,74,45,25,20,15,83,81,70,78,77,80,72,73,79,33,48,23,26,15,42,10,10,26,29,27,17,16,10,17,10,19,15
New York Jets,Jarvis Brownlee Jr,CB,25,76,Normal,677,2,Louisville,"5'10""",194,4010000,330000,1240000,2,0,92,91,85,63,77,31,29,24,19,73,64,35,39,34,30,55,65,75,35,35,29,30,24,57,32,40,51,74,70,75,77,73,77,71,15,18
New York Jets,Cade Klubnik,QB,23,76,X-Factor,2001,0,Clemson,"6'2""",207,4370000,1200000,1180000,4,0,87,90,85,64,55,93,82,88,85,45,35,18,36,30,29,60,73,71,64,38,34,44,28,38,18,26,38,43,18,25,47,27,33,12,53,43
New York Jets,Brandon Stephens,CB,28,76,Normal,326,5,SMU,"6'1""",215,24470000,11500000,13970000,2,0,90,86,84,68,80,21,6,6,6,70,72,36,46,34,28,69,62,75,59,35,35,38,38,56,40,44,58,78,71,64,79,73,78,82,18,15
New York Jets,Jamien Sherwood,WILL,26,76,Star,336,5,Auburn,"6'2""",216,25000000,15510000,11500000,2,0,86,86,77,67,79,43,37,33,29,63,60,34,35,31,29,64,54,68,55,35,35,35,35,73,56,55,70,87,88,85,78,68,70,74,25,20
New York Jets,Dane Belton,SS,25,76,Normal,381,4,Iowa,"6'1""",205,2490000,1510000,4000000,1,0,91,93,87,63,75,23,6,6,6,74,63,32,28,25,23,62,44,64,36,35,35,35,35,53,34,43,50,76,75,63,73,71,72,63,42,37
New York Jets,Mason Taylor,TE,22,75,Normal,445,1,LSU,"6'5""",246,6200000,4240000,2370000,3,0,83,86,83,75,72,22,7,14,11,84,83,72,71,67,61,71,67,67,65,62,63,56,57,67,36,39,42,42,39,39,31,34,37,18,18,30
New York Jets,Nahshon Wright,CB,27,75,Normal,432,5,Oregon State,"6'4""",185,1500000,2000000,3500000,1,0,90,85,81,54,84,27,15,10,6,78,74,47,48,43,39,62,60,69,40,38,35,35,35,47,31,40,55,78,69,55,81,74,78,73,21,16
New York Jets,Dylan Parham,LG,27,75,Normal,318,4,Memphis,"6'3""",311,9980000,4960000,3940000,2,0,74,81,58,84,84,22,6,6,6,41,40,30,35,33,29,46,36,30,38,81,80,76,73,82,29,29,33,41,36,35,37,15,25,18,22,21
New York Jets,Jowon Briggs,DT,25,74,Normal,514,2,Cincinnati,"6'1""",313,1070000,0,1070000,1,0,72,73,66,88,73,21,6,6,6,48,15,29,15,22,17,46,33,36,56,45,45,47,45,86,80,74,75,79,84,82,70,19,27,19,23,19
New York Jets,Austin McNamara,P,25,74,Normal,269,2,Texas Tech,"6'5""",204,1840000,10000,1000000,1,0,76,80,68,45,58,42,55,54,51,40,23,15,15,15,15,40,38,49,38,15,6,18,5,12,10,10,21,26,25,15,27,15,25,22,93,86
New York Jets,Darrell Jackson Jr.,DT,23,74,Star,552,0,Florida State,"6'5""",337,3920000,1600000,1200000,4,0,67,71,58,88,73,20,6,6,6,23,22,26,15,13,2,47,16,24,49,45,45,45,45,88,75,69,79,78,82,80,77,32,26,18,15,27
New York Jets,Joseph Ossai,LEDG,26,74,Normal,396,5,Texas,"6'4""",253,24970000,9460000,5450000,3,0,83,90,79,80,70,24,6,6,6,53,46,15,10,5,5,57,25,34,39,45,45,45,45,84,78,71,73,79,79,84,66,45,54,47,45,38
New York Jets,Braelon Allen,HB,22,73,Normal,441,2,Wisconsin,"6'1""",250,3660000,530000,1200000,2,0,88,89,83,79,78,43,34,28,21,64,51,54,62,55,50,87,79,83,85,44,38,58,39,49,38,29,48,44,45,55,33,34,42,34,17,12
New York Jets,Geno Smith,QB,35,72,Normal,574,13,West Virginia,"6'3""",221,3300000,0,3300000,1,0,84,82,79,58,71,88,86,83,79,57,48,30,30,20,10,59,61,64,35,20,15,24,20,35,10,10,25,30,38,12,18,18,25,15,20,15
New York Jets,Malachi Moore,FS,24,72,Normal,388,1,Alabama,"5'11""",197,4190000,880000,1220000,3,0,87,89,80,61,73,25,6,6,6,70,61,33,35,30,26,61,53,64,46,35,35,35,35,58,35,33,51,75,69,78,70,67,75,66,20,16
New York Jets,Josh Myers,C,28,72,Normal,227,5,Ohio State,"6'5""",310,9250000,3760000,4300000,2,0,61,56,59,89,80,26,6,6,6,31,16,15,11,6,5,28,10,12,27,75,73,75,78,86,29,24,31,35,31,31,21,12,12,10,18,12
New York Jets,Kingsley Enagbare,REDG,26,72,Normal,330,4,South Carolina,"6'4""",258,3490000,5510000,5000000,1,0,80,84,67,83,73,20,6,6,6,28,27,20,14,7,5,31,21,35,38,45,45,45,45,86,74,66,77,80,82,83,70,28,43,28,19,21
New York Jets,BJ Ojulari,REDG,24,72,Normal,440,3,LSU,"6'2""",248,7600000,1140000,2070000,4,0,86,91,84,75,61,19,6,6,6,29,22,12,10,7,5,30,13,41,26,49,45,49,48,71,66,74,68,84,76,84,62,41,50,42,22,21
New York Jets,Thomas Hennessy,LS,32,71,Normal,154,9,Duke,"6'2""",246,6180000,990000,1470000,2,0,73,72,66,67,60,38,6,6,6,61,52,30,44,39,34,63,15,30,34,45,40,59,50,72,10,10,48,48,59,60,37,25,24,15,13,13
New York Jets,Cade York,K,25,71,Normal,213,4,LSU,"6'1""",206,1140000,0,1140000,1,0,76,79,60,58,54,26,30,24,20,24,14,12,10,8,6,30,16,28,19,15,10,16,10,10,10,10,13,17,25,12,15,10,10,10,97,75
New York Jets,Mazi Smith,DT,25,71,Normal,278,3,Michigan,"6'3""",337,6610000,4980000,2560000,1,0,74,77,76,89,67,22,7,6,5,33,24,15,15,10,6,31,21,15,31,45,45,40,40,88,70,55,72,73,85,86,64,12,14,15,13,12
New York Jets,Mykal Walker,WILL,29,70,Normal,275,6,Fresno State,"6'3""",230,1210000,180000,1390000,1,0,86,86,79,72,73,25,6,6,6,68,52,20,33,25,20,47,44,60,40,47,45,47,45,76,56,63,66,81,81,84,72,59,66,42,17,14
New York Jets,Isaiah Davis,HB,24,70,Normal,471,2,South Dakota State,"6'0""",218,0,0,0,0,0,87,90,82,73,70,49,32,23,19,67,48,53,64,53,42,92,78,80,74,35,20,49,32,35,18,24,40,43,40,46,14,18,26,23,25,22
New York Jets,Kiko Mauigoa,MIKE,23,69,Normal,321,1,Miami,"6'2""",233,4150000,370000,1090000,3,0,84,90,75,73,69,30,26,23,20,56,46,24,26,23,20,63,38,49,40,45,45,45,45,72,55,61,65,81,80,78,72,63,69,46,22,18
New York Jets,Jeremy Ruckert,TE,26,69,Normal,222,4,Ohio State,"6'5""",250,7370000,4240000,3250000,2,0,81,84,74,78,68,30,25,20,14,80,80,63,64,59,55,76,58,62,70,67,60,61,60,72,33,24,36,42,37,42,20,14,15,16,28,24
New York Jets,Tyler Baron,REDG,24,69,Normal,606,1,Miami,"6'5""",258,0,0,0,0,0,85,89,73,76,69,12,16,10,19,36,27,20,15,10,6,44,24,30,24,45,45,45,45,77,72,68,78,76,77,81,67,31,38,26,19,21
New York Jets,Caullin Lacy,WR,24,69,Normal,569,0,Louisville,"5'9""",183,0,0,0,0,0,87,90,87,60,61,49,46,38,35,82,77,71,70,72,70,73,76,82,47,48,24,24,36,40,20,20,28,25,23,24,21,19,22,27,27,24
New York Jets,Tahj Washington,WR,25,69,Normal,561,2,USC,"5'10""",174,0,0,0,0,0,88,87,89,53,49,22,15,10,6,83,77,69,72,74,75,76,75,83,40,36,16,25,18,37,10,10,25,25,20,21,15,10,17,10,11,11
New York Jets,Qwan'tez Stiggers,CB,24,68,Normal,379,3,No College,"6'0""",197,4010000,250000,1130000,2,0,91,94,83,60,63,31,22,18,15,73,64,24,24,21,16,57,57,69,34,35,30,30,25,56,26,34,54,70,64,68,65,69,69,60,15,15
New York Jets,Chukwuma Okorafor,RT,29,68,Normal,206,8,W. Michigan,"6'6""",320,1300000,180000,1480000,1,0,67,62,56,85,73,18,6,6,6,24,12,13,15,10,7,27,12,10,24,75,71,74,76,82,18,14,24,26,28,29,18,11,13,10,18,13
New York Jets,Arian Smith,WR,24,68,Normal,343,1,Georgia,"6'0""",179,4190000,1040000,1260000,3,0,94,91,90,64,71,12,7,10,15,75,71,66,71,70,71,71,69,72,41,44,17,25,24,41,23,24,30,29,31,24,45,68,51,30,19,21
New York Jets,Anez Cooper,RG,22,68,Normal,311,0,Miami,"6'6""",334,4370000,280000,950000,4,0,55,56,61,85,64,15,6,6,6,28,28,12,16,5,5,25,10,10,26,72,73,74,76,81,10,10,18,24,36,25,24,10,11,10,23,27
New York Jets,Andrew Beck,FB,30,68,Normal,165,7,Texas,"6'3""",255,1300000,180000,1480000,1,0,85,87,77,77,57,30,15,10,6,72,66,60,63,57,52,67,64,64,67,63,59,62,55,66,35,20,47,52,47,36,40,31,37,26,22,15
